W,D,N,seed,excess,excess_es,train,steps
256,4000,74497,0,0.15925469994544983,0.03599897772073746,0.0009385775774717331,1776
256,8000,74497,0,0.188632532954216,0.030754895880818367,0.0009811983909457922,3424
256,16000,74497,0,0.13717858493328094,0.021823221817612648,0.0009676523040980101,26334
256,24000,74497,0,0.14866073429584503,0.020346643403172493,0.0021999054588377476,30000
256,32000,74497,0,0.1645611673593521,0.01901666261255741,0.0026970445178449154,30000
256,48000,74497,0,0.20444026589393616,0.01801404356956482,0.005015382543206215,30000
256,64000,74497,0,0.22236019372940063,0.017234032973647118,0.01101300772279501,30000
256,80000,74497,0,0.19051611423492432,0.01625536009669304,0.0231041070073843,30000
256,96000,74497,0,0.15966646373271942,0.015309439972043037,0.0368109829723835,30000
256,128000,74497,0,0.11196264624595642,0.014412084594368935,0.06454025954008102,30000
256,192000,74497,0,0.0632583498954773,0.013683641329407692,0.09947416186332703,30000
256,256000,74497,0,0.04132755845785141,0.013356408104300499,0.1219848170876503,30000
256,384000,74497,0,0.023570295423269272,0.011946086771786213,0.14173322916030884,30000
256,512000,74497,0,0.015420882031321526,0.010546822100877762,0.1506861448287964,30000
256,4000,74497,1,0.2072296440601349,0.051695264875888824,0.000978228636085987,1792
256,8000,74497,1,0.20669178664684296,0.039499230682849884,0.0009641898795962334,3552
256,16000,74497,1,0.1451711654663086,0.031539760529994965,0.0009058823343366385,26208
256,24000,74497,1,0.1607639342546463,0.028913477435708046,0.0020674369297921658,30000
256,32000,74497,1,0.17964094877243042,0.028762750327587128,0.003432648489251733,30000
256,48000,74497,1,0.2174309492111206,0.02558070234954357,0.0050229839980602264,30000
256,64000,74497,1,0.2224164605140686,0.023307092487812042,0.011343790218234062,30000
256,80000,74497,1,0.19131848216056824,0.022854357957839966,0.023847786709666252,30000
256,96000,74497,1,0.15749217569828033,0.022452853620052338,0.03791242465376854,30000
256,128000,74497,1,0.10887981951236725,0.02013605833053589,0.06651638448238373,30000
256,192000,74497,1,0.06339869648218155,0.01850890927016735,0.10322695970535278,30000
256,256000,74497,1,0.04253910109400749,0.01619105413556099,0.12570619583129883,30000
256,384000,74497,1,0.02313329093158245,0.014921828173100948,0.1450696885585785,30000
256,512000,74497,1,0.017376556992530823,0.013814868405461311,0.15530845522880554,30000
