W,D,N,seed,excess,excess_es,train,steps
4,10000,157,0,0.17682863771915436,0.17552044987678528,0.32221072912216187,30000
8,10000,345,0,0.11679284274578094,0.1157376691699028,0.251414030790329,30000
16,10000,817,0,0.07260844111442566,0.059539295732975006,0.18296854197978973,30000
24,10000,1417,0,0.0870547890663147,0.053753674030303955,0.1499423384666443,30000
32,10000,2145,0,0.11016236990690231,0.038931235671043396,0.11583279073238373,30000
48,10000,3985,0,0.20343968272209167,0.03561609983444214,0.06583463400602341,30000
64,10000,6337,0,0.3261571228504181,0.03452848643064499,0.023300664499402046,30000
80,10000,9201,0,0.4086941182613373,0.03358228877186775,0.005005101207643747,30000
96,10000,12577,0,0.38560155034065247,0.03309769928455353,0.0009097327128984034,26920
128,10000,20865,0,0.2891010344028473,0.0317554771900177,0.0009086299687623978,13320
192,10000,43585,0,0.20130015909671783,0.031067220494151115,0.0009171339916065335,10840
256,10000,74497,0,0.17762234807014465,0.0274383332580328,0.0008871857426129282,7000
384,10000,160897,0,0.15370503067970276,0.03223935142159462,0.0008893735939636827,6520
512,10000,280065,0,0.1389334797859192,0.03369039669632912,0.0009440135909244418,5640
4,10000,157,1,0.16915586590766907,0.16854621469974518,0.3177969455718994,30000
8,10000,345,1,0.1154816746711731,0.11449424922466278,0.25676724314689636,30000
16,10000,817,1,0.0755181834101677,0.06635812669992447,0.1883985549211502,30000
24,10000,1417,1,0.07853038609027863,0.04790758341550827,0.14968758821487427,30000
32,10000,2145,1,0.11587682366371155,0.0417887419462204,0.1158711314201355,30000
48,10000,3985,1,0.2124437838792801,0.04044819623231888,0.06376770883798599,30000
64,10000,6337,1,0.3311235308647156,0.037678275257349014,0.023947298526763916,30000
80,10000,9201,1,0.4148615300655365,0.03871725872159004,0.006264574360102415,30000
96,10000,12577,1,0.3717130720615387,0.03734556585550308,0.0008587824995629489,27400
128,10000,20865,1,0.29643988609313965,0.038556963205337524,0.0008883430273272097,11920
192,10000,43585,1,0.23126539587974548,0.0375150628387928,0.0009575209696777165,7400
256,10000,74497,1,0.1991427093744278,0.03882313892245293,0.0009230010909959674,6200
384,10000,160897,1,0.1761295199394226,0.04161536693572998,0.0008323691436089575,4840
512,10000,280065,1,0.14708217978477478,0.04030601680278778,0.000782166316639632,5920
