width,n_hidden,N,D,C,batch_size,lr,steps,schedule,seed,init_loss,val_loss,iso_C
8,6,633,1024,3364864.0,256,0.0133478432684073,4,cosine,0,1.002376744747162,0.9847382998466492,0.0
8,6,633,2048,6729728.0,256,0.0133478432684073,8,cosine,0,1.002376744747162,0.9812802171707152,0.0
8,6,633,4096,13459456.0,256,0.0133478432684073,16,cosine,0,1.002376744747162,0.9611500000953674,0.0
8,6,633,8192,26918912.0,256,0.0133478432684073,32,cosine,0,1.002376744747162,0.4556048011779785,0.0
8,6,633,16384,53837824.0,256,0.0133478432684073,64,cosine,0,1.002376744747162,0.2300779914855957,0.0
8,6,633,32768,107675648.0,256,0.0133478432684073,128,cosine,0,1.002376744747162,0.1873165017366409,0.0
8,6,633,65536,215351296.0,256,0.0133478432684073,256,cosine,0,1.002376744747162,0.1486005282402038,0.0
8,6,633,131072,430702592.0,256,0.0087031324141412,512,cosine,0,1.002376744747162,0.1335831975936889,0.0
8,6,633,262144,861405184.0,256,0.0056746631118567,1024,cosine,0,1.002376744747162,0.1282891279458999,0.0
8,6,633,524288,1722810368.0,256,0.0037000243016807,2048,cosine,0,1.002376744747162,0.1234012565016746,0.0
8,6,633,1048576,3445620736.0,256,0.0024125097055406,4096,cosine,0,1.002376744747162,0.1209379231929779,0.0
8,6,633,2097152,6891241472.0,256,0.0015730175276643,8192,cosine,0,1.002376744747162,0.1195355376601219,0.0
8,6,633,4194304,13782482944.0,256,0.0010256473317626,16384,cosine,0,1.002376744747162,0.1182479655742645,0.0
8,6,633,8388608,27564965888.0,256,0.0006687480785505,32768,cosine,0,1.002376744747162,0.1169070845842361,0.0
8,6,633,16777216,55129931776.0,256,0.0004360407117682,65536,cosine,0,1.002376744747162,0.1154205596446991,0.0
12,6,1189,1024,6518784.0,256,0.0114697240040731,4,cosine,0,1.061472783088684,1.019920597076416,0.0
12,6,1189,2048,13037568.0,256,0.0114697240040731,8,cosine,0,1.061472783088684,0.9918822145462036,0.0
12,6,1189,4096,26075136.0,256,0.0114697240040731,16,cosine,0,1.061472783088684,0.9571420049667358,0.0
12,6,1189,8192,52150272.0,256,0.0114697240040731,32,cosine,0,1.061472783088684,0.4973934984207153,0.0
12,6,1189,16384,104300544.0,256,0.0114697240040731,64,cosine,0,1.061472783088684,0.2195741778612137,0.0
12,6,1189,32768,208601088.0,256,0.0114697240040731,128,cosine,0,1.061472783088684,0.177452335357666,0.0
12,6,1189,65536,417202176.0,256,0.0114697240040731,256,cosine,0,1.061472783088684,0.1371691024303436,0.0
12,6,1189,131072,834404352.0,256,0.0074785510103621,512,cosine,0,1.061472783088684,0.1219840368628502,0.0
12,6,1189,262144,1668808704.0,256,0.0048762049718657,1024,cosine,0,1.061472783088684,0.1319896748661995,0.0
12,6,1189,524288,3337617408.0,256,0.0031794093394164,2048,cosine,0,1.061472783088684,0.1087251102924347,0.0
12,6,1189,1048576,6675234816.0,256,0.0020730555433769,4096,cosine,0,1.061472783088684,0.1061365103721618,0.0
12,6,1189,2097152,13350469632.0,256,0.0013516848027862,8192,cosine,0,1.061472783088684,0.1045900231599807,0.0
16,6,1905,1024,10655744.0,256,0.0102997309479634,4,cosine,0,0.9837308025360108,0.9820276594161989,0.0
16,6,1905,2048,21311488.0,256,0.0102997309479634,8,cosine,0,0.9837308025360108,0.978321681022644,0.0
16,6,1905,4096,42622976.0,256,0.0102997309479634,16,cosine,0,0.9837308025360108,0.8885077929496765,0.0
16,6,1905,8192,85245952.0,256,0.0102997309479634,32,cosine,0,0.9837308025360108,0.2730754709243774,0.0
16,6,1905,16384,170491904.0,256,0.0102997309479634,64,cosine,0,0.9837308025360108,0.1926333403587341,0.0
16,6,1905,32768,340983808.0,256,0.0102997309479634,128,cosine,0,0.9837308025360108,0.128782952427864,0.0
16,6,1905,65536,681967616.0,256,0.0102997309479634,256,cosine,0,0.9837308025360108,0.0850071853399276,0.0
16,6,1905,131072,1363935232.0,256,0.0067156858578285,512,cosine,0,0.9837308025360108,0.0631526543200016,0.0
16,6,1905,262144,2727870464.0,256,0.0043787975403334,1024,cosine,0,0.9837308025360108,0.0580180941522121,0.0
16,6,1905,524288,5455740928.0,256,0.00285508707601,2048,cosine,0,0.9837308025360108,0.0548593981564045,0.0
16,6,1905,1048576,10911481856.0,256,0.001861589200349,4096,cosine,0,0.9837308025360108,0.052697325348854,0.0
16,6,1905,2097152,21822963712.0,256,0.0012138033827323,8192,cosine,0,0.9837308025360108,0.0518621599674224,0.0
16,6,1905,4194304,43645927424.0,256,0.0007914305968556,16384,cosine,0,0.9837308025360108,0.0504275767505168,0.0
16,6,1905,8388608,87291854848.0,256,0.0005160328258678,32768,cosine,0,0.9837308025360108,0.0496041274070739,0.0
16,6,1905,16777216,174583709696.0,256,0.0003364664929952,65536,cosine,0,0.9837308025360108,0.0487824699282646,0.0
24,6,3817,1024,21878784.0,256,0.0088504988344418,4,cosine,0,0.9882407879829408,0.9830288982391358,0.0
24,6,3817,2048,43757568.0,256,0.0088504988344418,8,cosine,0,0.9882407879829408,0.9784088230133056,0.0
24,6,3817,4096,87515136.0,256,0.0088504988344418,16,cosine,0,0.9882407879829408,0.8063063716888428,0.0
24,6,3817,8192,175030272.0,256,0.0088504988344418,32,cosine,0,0.9882407879829408,0.2519938147068024,0.0
24,6,3817,16384,350060544.0,256,0.0088504988344418,64,cosine,0,0.9882407879829408,0.1707055813074112,0.0
24,6,3817,32768,700121088.0,256,0.0088504988344418,128,cosine,0,0.9882407879829408,0.1026742777228355,0.0
24,6,3817,65536,1400242176.0,256,0.0088504988344418,256,cosine,0,0.9882407879829408,0.0506674295663833,0.0
24,6,3817,131072,2800484352.0,256,0.0057707497562294,512,cosine,0,0.9882407879829408,0.0430010838806629,0.0
24,6,3817,262144,5600968704.0,256,0.003762675231302,1024,cosine,0,0.9882407879829408,0.0389664342999458,0.0
24,6,3817,524288,11201937408.0,256,0.0024533597009593,2048,cosine,0,0.9882407879829408,0.035684792548418,0.0
24,6,3817,1048576,22403874816.0,256,0.0015996527609448,4096,cosine,0,0.9882407879829408,0.0350133853405714,0.0
24,6,3817,2097152,44807749632.0,256,0.0010430141795342,8192,cosine,0,0.9882407879829408,0.0335151574015617,0.0
32,6,6369,1024,37033984.0,256,0.0079476852902164,4,cosine,0,0.983056733608246,0.9853708839416504,0.0
32,6,6369,2048,74067968.0,256,0.0079476852902164,8,cosine,0,0.983056733608246,0.980403790473938,0.0
32,6,6369,4096,148135936.0,256,0.0079476852902164,16,cosine,0,0.983056733608246,0.8316770887374878,0.0
32,6,6369,8192,296271872.0,256,0.0079476852902164,32,cosine,0,0.983056733608246,0.2534474378824234,0.0
32,6,6369,16384,592543744.0,256,0.0079476852902164,64,cosine,0,0.983056733608246,0.176492760181427,0.0
32,6,6369,32768,1185087488.0,256,0.0079476852902164,128,cosine,0,0.983056733608246,0.1021074151992798,0.0
32,6,6369,65536,2370174976.0,256,0.0079476852902164,256,cosine,0,0.983056733608246,0.0514264649152755,0.0
32,6,6369,131072,4740349952.0,256,0.0051820924231552,512,cosine,0,0.983056733608246,0.041438585370779,0.0
32,6,6369,262144,9480699904.0,256,0.0033788557172966,1024,cosine,0,0.983056733608246,0.0369563365727663,0.0
32,6,6369,524288,18961399808.0,256,0.0022030996412366,2048,cosine,0,0.983056733608246,0.0329293443262577,0.0
32,6,6369,1048576,37922799616.0,256,0.0014364768535012,4096,cosine,0,0.983056733608246,0.0312429873645305,0.0
32,6,6369,2097152,75845599232.0,256,0.0009366193484951,8192,cosine,0,0.983056733608246,0.0298717322200536,0.0
32,6,6369,4194304,151691198464.0,256,0.0006106995750312,16384,cosine,0,0.983056733608246,0.0292788485437631,0.0
32,6,6369,8388608,303382396928.0,256,0.0003981916149207,32768,cosine,0,0.983056733608246,0.0284711199253797,0.0
32,6,6369,16777216,606764793856.0,256,0.0003,65536,cosine,0,0.983056733608246,0.0270952640473842,0.0
48,6,13393,1024,79140864.0,256,0.0068293996952881,4,cosine,0,0.9980611896514892,0.9798346853256226,0.0
48,6,13393,2048,158281728.0,256,0.0068293996952881,8,cosine,0,0.9980611896514892,0.9693397378921508,0.0
48,6,13393,4096,316563456.0,256,0.0068293996952881,16,cosine,0,0.9980611896514892,0.3495490944385528,0.0
48,6,13393,8192,633126912.0,256,0.0068293996952881,32,cosine,0,0.9980611896514892,0.2299690639972686,0.0
48,6,13393,16384,1266253824.0,256,0.0068293996952881,64,cosine,0,0.9980611896514892,0.155258679986,0.0
48,6,13393,32768,2532507648.0,256,0.0068293996952881,128,cosine,0,0.9980611896514892,0.061134169101715,0.0
48,6,13393,65536,5065015296.0,256,0.0068293996952881,256,cosine,0,0.9980611896514892,0.0371283015608787,0.0
48,6,13393,131072,10130030592.0,256,0.0044529418470075,512,cosine,0,0.9980611896514892,0.0330767782777547,0.0
48,6,13393,262144,20260061184.0,256,0.0029034310448268,1024,cosine,0,0.9980611896514892,0.0312553106248378,0.0
48,6,13393,524288,40520122368.0,256,0.0018931106943895,2048,cosine,0,0.9980611896514892,0.029953329116106,0.0
48,6,13393,1048576,81040244736.0,256,0.0012343561964722,4096,cosine,0,0.9980611896514892,0.0286619497835636,0.0
48,6,13393,2097152,162080489472.0,256,0.0008048315527902,8192,cosine,0,0.9980611896514892,0.0274464397132396,0.0
64,6,22977,1024,136976384.0,256,0.0061327525729992,4,cosine,0,0.9898554182052612,0.9757044410705566,0.0
64,6,22977,2048,273952768.0,256,0.0061327525729992,8,cosine,0,0.9898554182052612,0.8770836091041565,0.0
64,6,22977,4096,547905536.0,256,0.0061327525729992,16,cosine,0,0.9898554182052612,0.2709412670135498,0.0
64,6,22977,8192,1095811072.0,256,0.0061327525729992,32,cosine,0,0.9898554182052612,0.1948803907632827,0.0
